abort,유산하다,고등,0
absurd,불합리한,고등,0
accord,일치하다,고등,0
accumulate,축적하다,고등,0
acquaint,알리다,고등,0
acquisition,획득,고등,0
adverse,거꾸로의,고등,0
aesthetic,미적인,고등,0
affiliate,회원으로 가입시키다,고등,0
allocate,할당하다,고등,0
amplify,확대하다,고등,0
archive,기록보관소,고등,0
assault,습격,고등,0
attorney,변호사,고등,0
authentic,진짜의,고등,0
bankrupt,파산자,고등,0
bishop,주교,고등,0
blast,돌풍,고등,0
breed,기르다,고등,0
brew,양조하다,고등,0
brute,야수 짐승같은,고등,0
bulk,부피,고등,0
caption,표제,고등,0
cater,음식물을 마련하다,고등,0
cathedral,대성당,고등,0
chamber,방,고등,0
chronic,만성의,고등,0
commence,시작하다,고등,0
commodity,상품,고등,0
compatible,양립할 수 있는,고등,0
compel,억지로 -시키다,고등,0
compensate,배상하다,고등,0
compile,편찬하다,고등,0
component,구성하는 성분,고등,0
compound,성분 등을 혼합하다,고등,0
comprise,포함하다,고등,0
compromise,타협 타협하다,고등,0
compulsory,의무적인,고등,0
conceive,상상하다,고등,0
condemn,나무라다,고등,0
confer,주다,고등,0
consensus,(의견 등의)일치,고등,0
consent,승낙하다,고등,0
conserve,보존하다,고등,0
constitute,구성하다,고등,0
constrain,강제하다,고등,0
contemporary,현대의,고등,0
contend,싸우다,고등,0
contradict,반박하다,고등,0
convention,관례,고등,0
convert,바꾸다,고등,0
coordinate,동격의,고등,0
corridor,복도,고등,0
counterpart,부본,고등,0
county,주,고등,0
creek,시내,고등,0
creep,기다,고등,0
criteria,criterion의 복수형,고등,0
currency,통용,고등,0
curriculum,과목,고등,0
curse,저주,고등,0
custody,보호,고등,0
cynical,냉소적인,고등,0
decent,점잖은,고등,0
dedicate,봉납하다,고등,0
deficiency,결핍,고등,0
deficit,결손,고등,0
degrade,지위를 낮추다,고등,0
delegate,파견하다,고등,0
deliberate,숙고하다,고등,0
depict,묘사하다,고등,0
deposit,예금,고등,0
deprive,빼앗다,고등,0
designate,가리키다,고등,0
diabetes,당뇨병,고등,0
dictate,받아쓰게 하다,고등,0
dignity,위엄,고등,0
dimension,치수,고등,0
dine,저녁식사를 하다,고등,0
discharge,짐을부리다,고등,0
discourse,강연,고등,0
discriminate,분별하다,고등,0
displace,바꾸어놓다,고등,0
dispute,논쟁하다,고등,0
disrupt,분열시키다,고등,0
distort,찌그러뜨리다,고등,0
divine,신의,고등,0
dominant,우세한,고등,0
dose,1회복용량 투약하다,고등,0
draft,초고,고등,0
drain,배수하다,고등,0
dread,두려워하다 두려움,고등,0
dual,둘의,고등,0
elaborate,공들인,고등,0
embrace,포옹하다,고등,0
emit,방사하다,고등,0
enforce,실시하다,고등,0
enroll,명부에 올리다,고등,0
entitle,자격을 주다,고등,0
equate,같게하다,고등,0
erect,똑바로 선,고등,0
estate,토지,고등,0
ethical,도덕상의,고등,0
ethnic,인종의,고등,0
evacuate,비우다,고등,0
exclusive,배타적인,고등,0
executive,집행의,고등,0
expertise,대가의 의견,고등,0
explicit,명백한,고등,0
extract,뽑아내다,고등,0
extraordinary,이상한,고등,0
facilitate,쉽게하다,고등,0
faculty,능력,고등,0
fatal,치명적인,고등,0
federal,연방의,고등,0
fertile,비옥한,고등,0
flee,달아나다,고등,0
flip,튀기다 홱 움직이다 튀기기,고등,0
fluid,유동성의,고등,0
flush,왈칵흐르다,고등,0
fond,좋아하는,고등,0
formula,공식,고등,0
foster,기르다,고등,0
fraction,분수,고등,0
frost,서리,고등,0
furious,노하여 펄펄뛰는,고등,0
